iter	RMSE
0	144.6717184
1	135.952168
2	129.8519528
3	122.7707741
4	116.0660667
5	111.5032472
6	106.623054
7	101.3337547
8	96.24019888
9	92.19903376
10	87.33933697
11	83.15302473
12	79.39278988
13	75.12647116
14	71.30069345
15	67.73132621
16	64.64668033
17	61.42563204
18	58.69579267
19	56.28336259
20	53.46628076
21	50.70880325
22	48.46381376
23	46.4154033
24	44.16355641
25	42.34622903
26	40.94556565
27	38.85823396
28	37.08879252
29	35.61604892
30	34.17008376
31	33.25366824
32	31.93694621
33	30.55614752
34	29.46706954
35	28.56541077
36	27.52725642
37	26.58854619
38	25.62189173
39	25.03500571
40	24.10486608
41	23.35808482
42	22.62574132
43	21.82891066
44	21.28651396
45	20.72599747
46	20.08439677
47	19.5145501
48	18.97844536
49	18.45509042
50	17.90112275
51	17.44920765
52	17.08086769
53	16.58407779
54	16.13025418
55	15.77902492
56	15.4444009
57	15.01558133
58	14.75283485
59	14.36220467
60	14.04076851
61	13.80566268
62	13.49099716
63	13.17217771
64	12.9305966
65	12.74737754
66	12.52527942
67	12.32580243
68	12.0259623
69	11.78450151
70	11.53369306
71	11.28429946
72	11.07210611
73	10.90379692
74	10.69192635
75	10.48813139
76	10.34467837
77	10.21365968
78	10.07517036
79	9.927092616
80	9.749483616
81	9.57256649
82	9.4542225
83	9.340754384
84	9.205314588
85	9.085790097
86	8.981015296
87	8.860930519
88	8.725161247
89	8.614775351
90	8.485126516
91	8.40786009
92	8.319827734
93	8.197593215
94	8.08291197
95	8.003734148
96	7.883700203
97	7.807434506
98	7.664694965
99	7.585814284
100	7.518668953
101	7.453448736
102	7.374328379
103	7.268466805
104	7.213595649
105	7.155377612
106	7.111142678
107	7.054193691
108	7.014407467
109	6.935132709
110	6.859638466
111	6.823019852
112	6.771215812
113	6.720242173
114	6.662855897
115	6.566961634
116	6.512151224
117	6.467676088
118	6.426134133
119	6.359480241
120	6.329015911
121	6.281267063
122	6.248472296
123	6.180443296
124	6.14975845
125	6.123697224
126	6.074312343
127	6.030199916
128	6.007030561
129	5.987012385
130	5.93979078
131	5.915816425
132	5.879813637
133	5.842400898
134	5.783667777
135	5.725574416
136	5.664932595
137	5.637950694
138	5.58045284
139	5.51665241
140	5.479132882
141	5.43045098
142	5.391599253
143	5.361919731
144	5.317514781
145	5.226862928
146	5.165699268
147	5.122941434
148	5.10412879
149	5.065634466
150	5.028013905
151	4.985659192
152	4.94102409
153	4.918637418
154	4.879988258
155	4.854439542
156	4.810256648
157	4.760584904
158	4.748930483
159	4.724235202
160	4.694310996
161	4.664818212
162	4.632098184
163	4.598053284
164	4.579854237
165	4.548910399
166	4.49670664
167	4.481213262
168	4.427954167
169	4.382246058
170	4.353332369
171	4.343989574
172	4.31251113
173	4.281172998
174	4.268899874
175	4.239304123
176	4.222901886
177	4.182547844
178	4.166458779
179	4.141785278
180	4.127217564
181	4.100383442
182	4.088556345
183	4.054515595
184	4.020039925
185	3.992339912
186	3.976018899
187	3.954583547
188	3.934604803
189	3.903147919
190	3.872490253
191	3.857371115
192	3.851857435
193	3.824538557
194	3.792408443
195	3.763203133
196	3.735462809
197	3.725267113
198	3.706400509
199	3.682191911
