iter	Passed	Remaining
0	49	9947
1	53	5261
2	55	3675
3	58	2890
4	62	2420
5	64	2100
6	67	1866
7	70	1683
8	72	1546
9	75	1438
10	78	1352
11	82	1287
12	85	1230
13	88	1177
14	91	1130
15	94	1082
16	96	1035
17	98	999
18	101	962
19	103	927
20	104	894
21	107	870
22	109	840
23	110	806
24	111	780
25	112	752
26	113	727
27	114	703
28	115	680
29	116	660
30	117	641
31	118	622
32	119	604
33	120	586
34	120	569
35	121	554
36	122	538
37	123	524
38	123	511
39	124	497
40	124	484
41	125	471
42	126	460
43	126	448
44	127	437
45	127	427
46	128	417
47	128	408
48	129	399
49	130	390
50	131	382
51	131	374
52	132	366
53	133	359
54	133	352
55	134	345
56	134	338
57	135	331
58	135	324
59	136	318
60	137	312
61	137	306
62	138	301
63	138	295
64	139	289
65	140	284
66	140	279
67	141	274
68	142	269
69	142	264
70	143	260
71	143	255
72	144	251
73	145	247
74	145	242
75	146	238
76	147	235
77	147	231
78	148	227
79	149	223
80	149	220
81	150	216
82	151	213
83	151	209
84	152	206
85	153	202
86	153	199
87	154	196
88	155	193
89	155	190
90	156	187
91	156	184
92	157	181
93	157	178
94	158	175
95	159	172
96	159	169
97	160	167
98	161	164
99	161	161
100	162	159
101	162	156
102	163	154
103	164	151
104	164	148
105	165	146
106	165	144
107	166	141
108	167	139
109	167	137
110	168	135
111	169	132
112	169	130
113	170	128
114	171	126
115	172	124
116	172	122
117	173	120
118	173	118
119	174	116
120	175	114
121	175	112
122	176	110
123	176	108
124	177	106
125	178	104
126	178	102
127	179	100
128	179	98
129	180	97
130	181	95
131	181	93
132	182	91
133	182	89
134	183	88
135	183	86
136	184	84
137	185	83
138	185	81
139	186	79
140	186	78
141	187	76
142	188	75
143	188	73
144	189	71
145	189	70
146	190	68
147	191	67
148	191	65
149	192	64
150	192	62
151	193	61
152	193	59
153	194	58
154	195	56
155	195	55
156	196	53
157	196	52
158	197	50
159	197	49
160	198	48
161	199	46
162	199	45
163	200	44
164	201	42
165	202	41
166	202	40
167	203	38
168	204	37
169	204	36
170	205	34
171	205	33
172	206	32
173	207	30
174	207	29
175	208	28
176	208	27
177	209	25
178	210	24
179	210	23
180	211	22
181	212	20
182	212	19
183	213	18
184	214	17
185	215	16
186	215	14
187	216	13
188	217	12
189	217	11
190	218	10
191	219	9
192	219	7
193	220	6
194	220	5
195	221	4
196	222	3
197	222	2
198	223	1
199	223	0
